family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,beam,power_kw,sigma_x_mm
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.000437158830422,5.7305520688367295,14.601021607020392,14.626496124657539,1.0841550793081307,6.2113623059855,injection,100,5
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,5.999191037930394,6.000377238286315,6.9223012761095335,15.364434621555834,15.38724525261317,1.1312683900238358,5.7161008414181005,injection,100,6
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,7.000302487847106,7.987373489272453,14.10040499162648,14.120722116959739,1.1546471032927812,5.2090017890399,injection,100,7
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,7.998921383907205,8.000281135354236,8.985733356618917,12.317719897490175,12.336812994525115,1.137952940111579,4.0136867092895,injection,100,8
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,8.99878655689561,9.000157224901317,9.951990216133895,10.575737372665905,10.592579935212076,1.0973820569680017,3.1663676871387985,injection,100,9
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.999928557309948,10.902331138260724,9.024090280036257,9.038012652003747,1.0431522849349817,3.0127171633413994,injection,100,10
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,10.998516902872419,10.999807028716148,11.845746367880919,7.690492541881477,7.703124634806291,0.9823094132318246,2.8770868842435036,injection,100,11
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,11.998382075860826,11.999754273747099,12.787405012044337,6.563890562496355,6.576077767776045,0.9191444727607896,2.7563947384998997,injection,100,12
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,12.998247248849232,12.999688474448961,13.729776360528895,5.616195245870159,5.627905806641942,0.8568953200712456,2.642058487711502,injection,100,13
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,13.998112421837636,13.999586995489386,14.675172412373795,4.825752481855927,4.83679492014879,0.7976010582703617,2.554399044457801,injection,100,14
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,14.997977594826041,14.999235323208943,15.623520170422712,4.162111159412163,4.170846180037424,0.7417940897109144,2.2615186850406026,injection,100,15
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,15.997842767814449,15.999168392242552,16.575304365658067,3.6010369994909475,3.609621661024165,0.6895182587888178,2.336707529425402,injection,100,16
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,16.99770794080285,16.99907140606104,17.530339211307563,3.1252754492054002,3.133547607475573,0.6404581426598304,2.2816726043899003,injection,100,17
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,17.99757311379126,17.99898648791443,18.4888394462789,2.72155856494134,2.7296254299486122,0.5949147878045905,1.9438292218957998,injection,100,18
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,18.997438286779666,18.999150179959305,19.45035745733328,2.3748813662724633,2.3841065501383873,0.5524912739919438,2.0118716060284,injection,100,19
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,19.99730345976807,19.99901402331926,20.414694540550922,2.078505054034019,2.087236819817173,0.5136258635039549,1.8760397660425987,injection,100,20
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,2.999595518965177,3.001663623230289,3.035002137946737,1.1106679129012642,1.1803797797969473,0.6648795838294543,4.0853226754215,injection,100,3
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,3.9994606919535824,4.001361158294975,4.168085486607652,4.1666903265418,4.216188322423631,0.5578795048576521,4.6939315000337,injection,100,4
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.001085563989288,5.229651343849366,4.570323321518122,4.607130743817822,0.4616629590531709,4.0204009684157,injection,100,5
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,5.999191037930394,6.000925225128742,6.229042520228266,3.8013687313464217,3.831374611087024,0.39273479616732515,4.254793205833099,injection,100,6
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,7.000834662580753,7.204388096256122,2.9075595052023617,2.9337081907843343,0.34166730783697424,4.0577439924805,injection,100,7
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,7.998921383907205,8.0007952998364,8.17609333401005,2.1910076136710366,2.2149480111067543,0.30141888735379463,3.5007842609719995,injection,100,8
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,8.99878655689561,9.00066900182145,9.150133512445928,1.6605933469415524,1.681859599551716,0.2688450158428862,2.7297699748342996,injection,100,9
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000411327493904,10.12857506755616,1.2815846855208646,1.2994085720960724,0.2421750718304509,2.6763715584392997,injection,100,10
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,10.998516902872419,11.000271370054845,11.110982109177488,1.0064364359594125,1.0225488336131683,0.2199550533625621,2.207949484867501,injection,100,11
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,11.998382075860826,12.00020009987798,12.097037575214362,0.8069655049949276,0.8222400214443759,0.20182818641071004,1.9244736063927999,injection,100,12
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,12.998247248849232,13.00005733523787,13.085762815894356,0.659270020480407,0.6732874469122851,0.18695159691831553,1.9556380620582994,injection,100,13
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,13.998112421837636,13.999979203870309,14.076703568489293,0.5480319899173303,0.5614410306424844,0.17402081793508203,1.8968214917967003,injection,100,14
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,14.997977594826041,14.999636304323195,15.069221313523826,0.4639113095067149,0.4750221704715951,0.16266867063027496,1.528652424427702,injection,100,15
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,15.997842767814449,15.999508606234759,16.0626492753711,0.39464130236934736,0.40509529001644395,0.15353272673736706,1.5564652266823,injection,100,16
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,16.99770794080285,16.99939306711336,17.05704697445799,0.3391527398479033,0.3491002072855798,0.14574640004971753,1.5478362114201,injection,100,17
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,17.99757311379126,17.999250587533833,18.05240146586198,0.29529495169626774,0.30464303005779403,0.13811732969807822,1.6547446465356,injection,100,18
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,18.997438286779666,18.999355943024913,19.048348464657376,0.25786411802264375,0.26798443616020684,0.1315501419791853,1.5345350343074,injection,100,19
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,19.99730345976807,19.999171713070833,20.044268888708014,0.22549521692294405,0.2348588100112181,0.12634787465476266,1.4584391928116993,injection,100,20
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,2.999595518965177,3.004259980966648,3.0336296765579447,0.9776016648814334,1.134624897843195,0.33243042421190944,3.0334023824569,injection,100,3
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,3.9994606919535824,4.003336662902681,4.033251912940937,0.747257914016286,0.8448944392762225,0.28435251456536265,2.6781316737256,injection,100,4
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.002602681005152,5.046529490392137,0.8780791157725787,0.9441998126420659,0.25930723371279407,2.2509209325660997,injection,100,5
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,5.999191037930394,6.002125734930494,6.057388709872719,0.9207233800620385,0.9700919936432406,0.23746488443649416,2.9981524754336,injection,100,6
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,7.001932588823157,7.0632182631037175,0.8752679849901357,0.9167243447027129,0.22065845894019107,2.6258505762643,injection,100,7
