family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,species,species_label,beam,dx_mm,dy_mm,power_kw
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.514988827592902,34.88737717094133,34.88737717094133,4.364148249957926,28.1564365177922,-0.03233529661742959,-0.04516277674391103,-0.03233529661742959,-0.012827480126481439,ions,H₂⁺,extraction,0,5,100
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.506727359991187,34.80492296320252,34.80492296320252,4.353481463411347,27.993617475072796,-0.03233529661742959,-0.045830192728885444,-0.03233529661742959,-0.01349489611145585,ions,H₂⁺,extraction,0,5,100
extraction_ions,1000,0.1,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.313366657916259,32.87507172295816,32.87507172295816,4.103205494088888,24.756823930050803,-0.03233529661742959,-0.04772889235033881,-0.03233529661742959,-0.015393595732909215,ions,H₂⁺,extraction,0,5,100
extraction_ions,0,0.0,99465,100007,100007,100007,0.9945803793734439,1.0,10.009063693604876,10.019461502661958,25.761921661182107,157.1188247426043,157.38592989114713,24.68590327281462,145.4582739193217,-0.028377423534250414,-0.048126571328581766,-0.03233529661742959,-0.015791274711152173,ions,H₂⁺,extraction,0,5,500
extraction_ions,200,0.02,99474,100007,100007,100007,0.9946703730738848,1.0,10.009156043092295,10.019461502661958,25.751290789406077,157.0127225157211,157.27734364954813,24.732380414589027,145.165288932806,-0.02816632767952596,-0.049521150472516186,-0.03233529661742959,-0.017185853855086593,ions,H₂⁺,extraction,0,5,500
extraction_ions,1000,0.1,99675,100007,100007,100007,0.9966802323837332,1.0,10.013046302931564,10.019461502661958,25.447875578545304,153.9844638535149,154.14718766550413,21.96401965861944,135.22502524538768,-0.030621261082087084,-0.08300047370878855,-0.03233529661742959,-0.050665177091358954,ions,H₂⁺,extraction,0,5,500
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.225476945784168,31.997881745146085,31.997881745146085,4.052396845711862,26.8356084036798,-0.03233529661742959,-0.04429325009906571,-0.03233529661742959,-0.01195795348163612,ions,H₂⁺,extraction,0,-5,100
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.218867595578532,31.93191662113337,31.93191662113337,4.043670536801287,26.694217581595396,-0.03233529661742959,-0.04484187787600468,-0.03233529661742959,-0.012506581258575088,ions,H₂⁺,extraction,0,-5,100
extraction_ions,1000,0.1,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.063777704513436,30.384030130188822,30.384030130188822,3.8384717208037102,23.7780886603982,-0.03233529661742959,-0.04641321125560346,-0.03233529661742959,-0.014077914638173865,ions,H₂⁺,extraction,0,-5,100
extraction_ions,0,0.0,99574,100007,100007,100007,0.9956703030787845,1.0,10.013119707116376,10.019461502661958,24.670982115408485,146.23061936865497,146.38656919156463,22.228453933306305,132.7453543323409,-0.029010451095619654,-0.050063150223610915,-0.03233529661742959,-0.017727853606181322,ions,H₂⁺,extraction,0,-5,500
