family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,block,beam,species,train,energy_mev,sigma_t_ns,sigma_mm,voltage_kv,power_kw,dx_mm,dy_mm
E3_injection_e_25mm,50,0.005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.034746351367385,25.41004207067374,1.4990993479183201,1.6633198321024167,0.7615106484774962,6.528197474193201,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,50,0.005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.034746351367385,27.15083912528912,8.45262318308313,8.62809412227945,4.849095554960533,22.288185601442905,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,65,0.006500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99895681961695,25.622287135813227,2.4934253084798463,2.512493472982147,0.8114245038627632,4.382353865676302,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,65,0.006500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99895681961695,25.388529825248323,1.558357048425596,1.5772512502044478,2.8834202097101405,16.522653771574504,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.005890324837825,24.960318631125364,-0.1822438358341283,-0.13598367725958793,0.3452633832863804,5.5766257547858,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.005890324837825,24.36209131404366,-2.574589436452468,-2.529438001326567,1.897889114820907,10.420100763968897,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,95,0.0095,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.011943930449252,24.79140782115465,-0.8817231875613007,-0.8117808148397354,0.4115386699202009,4.814645147234499,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,95,0.0095,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.011943930449252,24.777113180032348,-0.9388744476234945,-0.8689724034352864,1.3092507416240635,9.030584776932102,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,115,0.0115,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00332241049141,25.073417271716636,0.2803421884277846,0.3165139313247245,0.3202808052835965,5.074125711304001,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,115,0.0115,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00332241049141,25.099685248638888,0.38540013429193554,0.42160977224310336,0.9820911367003949,6.957870465657702,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,130,0.013000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99768470030445,25.052725591563874,0.22018395671161706,0.2337283581492322,0.29213484894262587,3.9727830204237,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,130,0.013000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99768470030445,24.8181692872544,-0.718128159476561,-0.7047105675844212,0.8261467923703399,5.9757775443759,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,145,0.0145,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9977449181176,24.926841948878174,-0.2836374619857751,-0.26992090745967534,0.2911429199285353,4.6228149102036,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,145,0.0145,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9977449181176,24.762582339313127,-0.9407351726116508,-0.9271090056242381,0.7616170919482259,5.947912896852902,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99961583108672,24.930180470156188,-0.2777457117728699,-0.25656378056043705,0.27807395631387494,3.9293651275781,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,160,0.016,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99961583108672,24.935254672943543,-0.25744858872249754,-0.2362623462129898,0.6395467888586246,4.915977312766799,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,180,0.018000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998647858264263,25.024248367431916,0.1024075754528786,0.119793515506883,0.2671288711605912,4.292147276301801,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,180,0.018000000000000002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.998647858264263,25.00112774883409,0.009920098814486522,0.027289975501343378,0.547130939995682,4.364821872770699,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,195,0.0195,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99593112656895,25.00619807552444,0.041074480896519105,0.0475759019292088,0.2549390866978007,3.5700193226420005,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,195,0.0195,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99593112656895,24.917304138853286,-0.3145591469168818,-0.3080808376306421,0.49850742737040465,4.733582195350998,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,1000,0.1,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.994208859658126,24.994235577038754,0.00010689428411314594,-0.00028499126250025597,0.10604039716167069,1.3516951512345994,E3,injection,,3-bunch,80.0,120.0,25.0,10,100,0,0
E3_injection_e_25mm,1000,0.1,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.994208859658126,24.992011655496075,-0.008790853010742783,-0.009182703688404015,0.11535489505136416,1.2336089287994998,E3,injection,,3-bunch,80.0,120.0,25.0,10,500,0,0
E3_injection_e_25mm,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.26317693077278,18.12225528652386,-28.266126876349606,-27.49446733898956,9.00891967899925,23.396507205847403,E3,injection,,3-bunch,80.0,120.0,25.0,15,100,0,0
E3_injection_e_25mm,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.26317693077278,22.83779061155183,-9.600480279527368,-8.628029629263068,42.7567992864974,118.0831362317321,E3,injection,,3-bunch,80.0,120.0,25.0,15,500,0,0
