family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,290,0.029,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00213107971957,10.004635190884247,0.025035776323245607,0.059842678411814454,0.25684815440189,2.8528295701213002,10,100
injection_electrons_s10x10,290,0.029,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00213107971957,10.003275906935311,0.011445832959156022,0.046248005993398955,0.43636521546943524,2.9001414292649996,10,500
injection_electrons_s10x10,295,0.029500000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002637441366957,10.013135782751979,0.1049557323911765,0.14486005972857985,0.2534721025483856,2.7253186411995998,10,100
injection_electrons_s10x10,295,0.029500000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002637441366957,10.003801730299061,0.011639819386921602,0.05150694867843697,0.42698528405111735,2.9580362182478,10,500
injection_electrons_s10x10,5,0.0005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.842275714059092,11.334514301919116,4.539993271170384,13.360427066806114,19.32296953515434,56.7608797777075,12,100
injection_electrons_s10x10,5,0.0005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.842275714059092,16.660846282132514,53.66558388225202,66.63092917154523,21.316428608960127,124.46849083849159,12,500
injection_electrons_s10x10,10,0.001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.821530667339399,9.836939569647393,-9.098445755586248,-1.6173396634397763,17.63352083493774,51.8963957227028,12,100
injection_electrons_s10x10,10,0.001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.821530667339399,15.051919697868613,39.09233509171679,50.539493768758526,18.425136373811,104.8552771673451,12,500
injection_electrons_s10x10,15,0.0015,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.78257386242126,7.69526403792083,-28.63240135326247,-23.03698292719617,15.047327670883188,44.172277325773905,12,100
injection_electrons_s10x10,15,0.0015,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.78257386242126,13.746398668971098,27.487173696803225,37.48252304744049,14.943927434000186,85.3134590532865,12,500
injection_electrons_s10x10,20,0.002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.721408726000911,5.603277986568496,-47.73748366686399,-43.959664383334875,11.874524736829127,34.3945708130664,12,100
injection_electrons_s10x10,20,0.002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.721408726000911,13.38308283611882,24.82578715297905,33.84887480498398,12.046774432153072,66.8285291440743,12,500
injection_electrons_s10x10,30,0.003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.53423357411716,6.309045583137705,-40.10911625655267,-36.90103672396948,5.291422746734737,18.035253295939604,12,100
injection_electrons_s10x10,30,0.003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.53423357411716,13.892286367714862,31.877523599329628,38.94159675742615,9.232917882234277,45.88120731675719,12,500
injection_electrons_s10x10,35,0.0035,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.421137313032071,8.470177033612991,-18.721183886324212,-15.286808037354794,2.7671380294818264,14.523337006741,12,100
injection_electrons_s10x10,35,0.0035,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.421137313032071,13.695308552230804,31.41855961445057,36.97155298747135,8.28319589853368,42.829821050677594,12,500
injection_electrons_s10x10,40,0.004,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.309160347324294,10.43051830365918,1.1771856508797418,4.319248089063854,1.8661578387172726,14.8210453799947,12,100
injection_electrons_s10x10,40,0.004,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.309160347324294,13.223019710898036,28.264759353850046,32.24802771534703,7.477691962201385,37.64386230943779,12,500
injection_electrons_s10x10,45,0.0045000000000000005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.208871409078778,11.832159533333005,15.900759831401468,18.337550431614623,2.5226813070598664,12.372460301805699,12,100
injection_electrons_s10x10,45,0.0045000000000000005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.208871409078778,12.826018061370762,25.636003701295994,28.277475882436253,6.87482486643442,32.976154815669396,12,500
injection_electrons_s10x10,55,0.0055000000000000005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.06819842035296,12.754832092142824,26.684353641251324,27.56552019929972,3.1481607423127222,11.2487213307962,12,100
injection_electrons_s10x10,55,0.0055000000000000005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.06819842035296,11.86107125049993,17.807285427774833,18.62670658934451,5.801152422019069,26.368518745437402,12,500
injection_electrons_s10x10,60,0.006,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.02969134103569,12.463186405714287,24.26291081084564,24.64867006482745,2.7961283018331096,9.070708373929499,12,100
injection_electrons_s10x10,60,0.006,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.02969134103569,11.386225946187297,13.525187954702588,13.877613240154108,5.232785693650075,24.5295931608709,12,500
injection_electrons_s10x10,65,0.006500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008660604045717,11.880662338846644,18.70381871120921,18.82264389045243,2.203463115928116,10.313108598438301,12,100
injection_electrons_s10x10,65,0.006500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008660604045717,10.934197729139933,9.24736247645459,9.356721531361622,4.781488126944867,22.892946755141,12,500
injection_electrons_s10x10,70,0.007,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000941020083799,11.173822767894384,11.727713876676349,11.7532950417506,1.584643008377098,10.933532706521,12,100
injection_electrons_s10x10,70,0.007,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000941020083799,10.518988968685846,5.179992038366277,5.204074037768969,4.3691532963037645,22.5345456458018,12,500
injection_electrons_s10x10,80,0.008,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.010263917330184,9.903537391270614,-1.0661709515450424,-0.9512716432468871,1.0673309367177006,10.4918284021639,12,100
