family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,200,0.02,99943,99988,99988,99988,0.9995499459935192,1.0,24.89471905922518,24.954616645821833,42.90324984674702,71.92510089683282,72.33875885355074,48.71402905107785,178.3342198917129,ions,H₂⁺,injection,400,25
injection_ions,1000,0.1,99961,99988,99988,99988,0.9997299675961115,1.0,24.914883968538454,24.954616645821833,41.059899875978104,64.53829148624806,64.80068672134675,44.684650362028364,172.4897819378404,ions,H₂⁺,injection,400,25
injection_ions,0,0.0,99649,99988,99988,99988,0.9966095931511781,1.0,24.674769820691825,24.954616645821833,47.79660049926834,91.53410039368788,93.70636827252976,52.81434035369162,192.0548577909936,ions,H₂⁺,injection,500,25
injection_ions,200,0.02,99670,99988,99988,99988,0.9968196183542025,1.0,24.6875406966988,24.954616645821833,47.710799851321006,91.19027364144765,93.25861752483453,52.77813003364939,192.3308722480982,ions,H₂⁺,injection,500,25
injection_ions,1000,0.1,99886,99988,99988,99988,0.9989798775853103,1.0,24.836355312056817,24.954616645821833,45.47953026682683,82.24896383828639,83.11676449864918,50.86310892546415,184.4747273382395,ions,H₂⁺,injection,500,25
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.371348942553185,33.45376833875455,33.45376833875455,4.209509045279266,27.496022460736,ions,H₂⁺,extraction,100,10
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.363938559935443,33.37980844963502,33.37980844963502,4.199838398732233,27.344171535088194,ions,H₂⁺,extraction,100,10
extraction_ions,1000,0.1,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.190293613306471,31.646731810907113,31.646731810907113,3.9727106756264328,24.2730957339331,ions,H₂⁺,extraction,100,10
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,16.752449426790996,67.1990996955298,67.1990996955298,8.10256374161998,59.0913073066709,ions,H₂⁺,extraction,200,10
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,16.737935288169663,67.05424022760853,67.05424022760853,8.0849644310038,58.704908650998505,ions,H₂⁺,extraction,200,10
