mode,block,beam,energy_mev,sigma_t_ns,sigma_mm,dx_mm,dy_mm,voltage_kv,power_kw,b_gs,species,train,sc_on,reuse
e,E3,extraction,1600.0,20.0,10,0,0,15,100,180,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,200,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,200,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,200,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,220,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,220,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,220,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,240,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,240,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,240,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,1000,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,0,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,0,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,0,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,25,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,25,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,25,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,45,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,45,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,45,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,70,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,70,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,70,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,90,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,90,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,90,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,115,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,115,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,115,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,140,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,140,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,140,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,160,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,185,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,185,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,185,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,205,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,205,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,205,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,230,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,230,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,230,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,250,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,250,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,250,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,275,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,275,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,275,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,500,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,20,100,1000,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,30,100,0,,3-bunch,True,False
