family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,30.43855776714283,238.82127124293567,238.82127124293567,22.747409196378243,56.275213647037404,ions,H₂⁺,injection,200,9
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,29.503277710711917,195.5693342182812,195.5693342182812,20.834387533520772,51.456497421212006,ions,H₂⁺,injection,200,10
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,28.908436581282796,163.2819135740507,163.2819135740507,19.257143762062025,47.592911586440195,ions,H₂⁺,injection,200,11
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,28.56679129476458,138.48953231956034,138.48953231956034,17.9283225177088,44.3202877413071,ions,H₂⁺,injection,200,12
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,28.41999503992546,119.0129281124103,119.0129281124103,16.79008821383899,41.625624368737796,ions,H₂⁺,injection,200,13
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,28.42886876138517,103.43264652956275,103.43264652956275,15.803877764023945,39.2505411119929,ions,H₂⁺,injection,200,14
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,28.560231752568782,90.7478160448965,90.7478160448965,14.93655842125378,37.161883201976096,ions,H₂⁺,injection,200,15
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,28.79348474826679,80.28656002896186,80.28656002896186,14.168488615593155,35.36578218186371,ions,H₂⁺,injection,200,16
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,29.11089962068743,71.55201022965298,71.55201022965298,13.482178621188126,33.6630093345346,ions,H₂⁺,injection,200,17
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,29.498959918435993,64.18115431700781,64.18115431700781,12.864543812445572,32.226321989659304,ions,H₂⁺,injection,200,18
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,29.946783347336588,57.90129280837695,57.90129280837695,12.305055887772143,30.9529685434527,ions,H₂⁺,injection,200,19
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,30.44602408074625,52.50697151985628,52.50697151985628,11.79575704874739,29.672696042793103,ions,H₂⁺,injection,200,20
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,48.11634015179982,1506.7948746956115,1506.7948746956115,45.87215487554955,103.6332687623827,ions,H₂⁺,injection,200,3
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,42.13674194002916,955.3343329731256,955.3343329731256,39.107887567734814,92.536849247529,ions,H₂⁺,injection,200,4
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,37.30476382327478,647.4521518951279,647.4521518951279,33.413661991773246,80.5921384733482,ions,H₂⁺,injection,200,5
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,33.580534140001845,460.69341491340873,460.69341491340873,28.750121960380817,69.7334162337756,ions,H₂⁺,injection,200,6
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,31.023816636453763,344.00339505413183,344.00339505413183,25.22927344882978,61.1240422072745,ions,H₂⁺,injection,200,7
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,29.318931496475752,267.15314936255413,267.15314936255413,22.552569964454648,54.734459230452494,ions,H₂⁺,injection,200,8
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,28.19512797020595,213.84894037373283,213.84894037373283,20.4513685627371,49.7426766817995,ions,H₂⁺,injection,200,9
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,27.479009465132748,175.2898376995669,175.2898376995669,18.7525559043276,45.5896731639924,ions,H₂⁺,injection,200,10
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,27.06055993985469,146.45248397705265,146.45248397705265,17.346356295581707,42.2272864187951,ions,H₂⁺,injection,200,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,26.865751931287384,124.28842453441024,124.28842453441024,16.1591757263116,39.456477786597205,ions,H₂⁺,injection,200,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,26.843176572501996,106.86149637686691,106.86149637686691,15.140105550041335,37.0380195758311,ions,H₂⁺,injection,200,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,26.958320467615838,92.90962734923669,92.90962734923669,14.255434807491763,34.9778294385873,ions,H₂⁺,injection,200,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,27.182678825205066,81.54742808385522,81.54742808385522,13.4767970744548,33.040624571053996,ions,H₂⁺,injection,200,15
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,27.49759471028618,72.17251759311576,72.17251759311576,12.786441749121037,31.531553524364202,ions,H₂⁺,injection,200,16
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,27.88725099028528,64.34098669223289,64.34098669223289,12.168826552190694,30.001602210090205,ions,H₂⁺,injection,200,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,28.339904657136476,57.730247870017216,57.730247870017216,11.612615833939584,28.774253919518003,ions,H₂⁺,injection,200,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,28.845668563254545,52.09541222613288,52.09541222613288,11.108273695097175,27.5672747206165,ions,H₂⁺,injection,200,19
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,29.397164903021572,47.253138168040955,47.253138168040955,10.6487361313253,26.487175476559703,ions,H₂⁺,injection,200,20
injection_ions,0,0.0,80177,99988,99988,99988,0.8018662239468737,1.0,2.9954848072791016,2.9945539974985853,53.9468775622198,1701.499575806039,1700.9397821390235,53.97139426756678,118.9232443739551,ions,H₂⁺,injection,300,3
injection_ions,0,0.0,85862,99988,99988,99988,0.8587230467656118,1.0,4.032606900711592,3.9927386633314605,52.515102402383036,1215.2652059267384,1202.2618791114069,52.569952222607675,123.02047979469279,ions,H₂⁺,injection,300,4
injection_ions,0,0.0,90665,99988,99988,99988,0.9067588110573269,1.0,5.050043084130486,4.990923329164335,51.28602475348324,927.5859068760813,915.5561823749003,51.33746162630491,123.92830904136471,ions,H₂⁺,injection,300,5
