family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,11.011897101186639,14.491284889088499,31.59662459547432,44.932389691870966,22.971475895672498,68.4901653526623,10,100
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.70414980153808,5.493501298533966,-48.678770379833395,-45.05757929226634,7.226566310698548,25.483590622757305,10,100
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.084553519080732,13.201209128616277,30.90524140348503,32.02989248200778,3.6449164703036687,12.8718603822441,10,100
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018357482184092,9.499279565533882,-5.181267663619504,-4.994395022857001,1.41771108197855,9.4726155097553,10,100
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.047945083204418,9.938687375268001,-1.0873637050330398,-0.5997244052094786,0.8741918404460702,7.8348987170025,10,100
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003570682058353,10.102774155445758,0.9916806362485042,1.0413646597024817,0.6078034366473106,5.437352262699709,10,100
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.011906767856747,9.915052953944715,-0.9673862947164213,-0.8361004883232437,0.48515207638468666,5.138515302372399,10,100
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.010892666581878,10.09824680148913,0.8725908649371172,0.996085015217063,0.4217448549825541,5.1379419700434,10,100
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00109242656167,9.939343558421001,-0.6174212326712558,-0.5931616888480429,0.3659576971075516,4.404186775194501,10,100
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.006046771992425,10.016437160370856,0.10384109344276915,0.17787828766635538,0.3287696687734647,4.1245757228728,10,100
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.0035334642357,10.015256693055557,0.11719087922053006,0.16607202270995103,0.29496313158942056,2.9987451432409,10,100
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00065512076562,9.976297846609159,-0.2435567856538201,-0.22356897588546865,0.26842424782795715,3.5304226910790995,10,100
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002976849164302,10.018195449247585,0.1521407108380446,0.19546354740167526,0.2501894260319827,2.835499052964799,10,100
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.999231188946965,9.999270643294011,0.0003945738057398174,0.006189968674941149,0.10900591141839899,1.3157863930906002,10,100
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,11.011897101186639,17.216634243019744,56.34576027017619,72.18955823376257,21.996276008890806,128.9149784641553,10,500
