family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,power_kw,sigma_x_mm
injection_ions,1000,0.1,92099,99988,99988,99988,0.9211005320638477,1.0,7.033421730240624,6.987292660830085,52.51938907843571,651.6414672717666,646.711786848006,52.75349028418245,131.0128418292185,400,7
injection_ions,1000,0.1,94559,99988,99988,99988,0.9457034844181301,1.0,8.042895131235262,7.98547732666296,51.689769868274325,547.2971840479182,542.6761635562391,51.99650624741636,132.0393893139337,400,8
injection_ions,1000,0.1,96746,99988,99988,99988,0.967576109133096,1.0,9.035277578273144,8.983661992495835,50.92242700808871,466.83373718451173,463.5956014294494,51.20663981862348,133.9692574068166,400,9
injection_ions,1000,0.1,98513,99988,99988,99988,0.9852482297875745,1.0,10.014347929423188,9.98184665832871,50.038168095304854,401.29169289085127,399.66476547402107,50.26227325894849,139.6418167657871,400,10
injection_ions,1000,0.1,99865,99988,99988,99988,0.9987698523822859,1.0,10.983610996961076,10.980031324161585,49.02435619418039,346.4864875777009,346.340972998264,48.64756222994896,144.2331947820102,400,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,47.127878811929065,293.44656041680594,293.44656041680594,37.371606083032034,97.6147395792878,400,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,45.498929906757745,250.62827600291038,250.62827600291038,34.74989227886416,90.37609352463289,400,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,44.22875274061107,216.49420517729254,216.49420517729254,32.47875420797525,84.1502018752525,400,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,43.26154506723986,188.93481368762556,188.93481368762556,30.50748215698623,78.6130270319277,400,15
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,42.54630251188431,166.3979920763473,166.3979920763473,28.78663762188659,73.99545501783811,400,16
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,42.03586892483015,147.71951089687843,147.71951089687843,27.269484611832013,69.9306904847625,400,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,41.69645692868322,132.06826438657586,132.06826438657586,25.922657091669087,66.4638421768031,400,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,41.499062788244366,118.81333926912667,118.81333926912667,24.716728070625603,63.12274459628809,400,19
