family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,25.295162364725616,153.41165047471148,153.41165047471148,16.460031913991536,40.4344189777372,ions,H₂⁺,15,100
injection_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,25.17930227991302,152.2509425538387,152.2509425538387,16.34054196460143,40.1066246804179,ions,H₂⁺,15,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,22.582904850759313,126.23974925437729,126.23974925437729,13.65569376521372,32.9286853878005,ions,H₂⁺,15,100
injection_ions_s10x10,0,0.0,71605,99988,99988,99988,0.7161359363123575,1.0,9.246571289008589,9.98184665832871,54.31554486224541,444.143250456821,487.4128167573895,55.12550881215919,142.91343481985882,ions,H₂⁺,15,500
injection_ions_s10x10,200,0.02,71989,99988,99988,99988,0.7199763971676602,1.0,9.252991373222287,9.98184665832871,54.372787225985824,444.71671512422955,487.6238832702045,55.18976001813338,138.1695789363059,ions,H₂⁺,15,500
injection_ions_s10x10,1000,0.1,82502,99988,99988,99988,0.8251190142817139,1.0,9.43616137311219,9.98184665832871,53.80674040261516,439.0459525614891,470.21852716438735,54.65747071708022,139.5320469657201,ions,H₂⁺,15,500
injection_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,21.470268428613373,115.09315023086324,115.09315023086324,12.445957981876969,30.258454280844703,ions,H₂⁺,20,100
injection_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,21.40572107716396,114.44650283525779,114.44650283525779,12.378884662563191,30.0827270398809,ions,H₂⁺,20,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.93225504646456,99.68504555049816,99.68504555049816,10.844060360049115,26.0832431227578,ions,H₂⁺,20,100
injection_ions_s10x10,0,0.0,80029,99988,99988,99988,0.8003860463255591,1.0,9.599771279394716,9.98184665832871,53.091505940050055,431.8806004272893,453.0496966527475,53.80557974139376,143.2174144612886,ions,H₂⁺,20,500
injection_ions_s10x10,200,0.02,80307,99988,99988,99988,0.8031663799655959,1.0,9.60780620944711,9.98184665832871,53.125708957249664,432.2232526275319,452.9431776529018,53.88353198056144,139.5402253960218,ions,H₂⁺,20,500
injection_ions_s10x10,1000,0.1,87622,99988,99988,99988,0.8763251590190823,1.0,9.757618565036719,9.98184665832871,53.448726186003455,435.4592994213812,447.7640453944341,54.147498528670376,141.193134011403,ions,H₂⁺,20,500
injection_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.164032980973783,91.98885373563206,91.98885373563206,10.010209674958533,24.225669845188,ions,H₂⁺,25,100
injection_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.122859252188363,91.57636764768895,91.57636764768895,9.9671093015538,24.1142782140261,ions,H₂⁺,25,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,18.17292230124564,82.05972224670887,82.05972224670887,8.970522525702576,21.5410687533537,ions,H₂⁺,25,100
injection_ions_s10x10,0,0.0,87346,99988,99988,99988,0.8735648277793335,1.0,9.851981149820224,9.98184665832871,51.92168505308405,420.1611167785406,427.0177060177536,52.41950724344971,136.4568098913304,ions,H₂⁺,25,500
injection_ions_s10x10,200,0.02,87562,99988,99988,99988,0.8757250870104413,1.0,9.855882746944273,9.98184665832871,51.9429851210261,420.3745048285792,427.02519352851016,52.505351108963296,143.2275914512922,ions,H₂⁺,25,500
injection_ions_s10x10,1000,0.1,92931,99988,99988,99988,0.92942153058367,1.0,9.959262215525184,9.98184665832871,52.08818432917127,421.82913755451887,423.01248026156617,52.592352581917055,142.2308428611069,ions,H₂⁺,25,500
injection_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,17.62453104443714,76.56583644000867,76.56583644000867,8.374996273782592,20.1655322975491,ions,H₂⁺,30,100
injection_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,17.595967838110226,76.2796849161012,76.2796849161012,8.344891799816105,20.088978089937406,ions,H₂⁺,30,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.932608422311226,69.63402666762968,69.63402666762968,7.644350790727394,18.308365963587,ions,H₂⁺,30,100
injection_ions_s10x10,0,0.0,93725,99988,99988,99988,0.9373624834980198,1.0,9.984655739824493,9.98184665832871,50.55982107502223,406.51770965481455,406.37520604101417,50.78918995678443,142.248348964828,ions,H₂⁺,30,500
injection_ions_s10x10,200,0.02,93892,99988,99988,99988,0.9390326839220706,1.0,9.98698534418292,9.98184665832871,50.564325058743,406.5628314030737,406.3021854557443,50.76362343598249,141.775950989695,ions,H₂⁺,30,500
injection_ions_s10x10,1000,0.1,97913,99988,99988,99988,0.9792475097011641,1.0,10.012008927542322,9.98184665832871,50.41779119902681,405.09482788897515,403.57317461364886,50.50696344754269,141.6425654248018,ions,H₂⁺,30,500
